;----------------------------------------------------
;Dump of Oscilloscope gather for X Axis
;Kp == 0.000000
;Ki == 0.000000
;Kd == 0.000000
;iL == 2560000.000000
;Kg == 0.000000
;Kv1 == 0.000000
;Ka == 0.000000
;accel_time == 0.500000
;samples_per_second == 200.000000
;----------------------------------------------------

Sample Seconds VExp VAbs ErrAbs ErrSum
145 0.725000 -18.295467 -18.000000 -7.000000 0.000000 
146 0.730000 -18.295467 -19.000000 -7.000000 0.000000 
147 0.735000 -18.295467 -20.000000 -7.000000 0.000000 
148 0.740000 -18.295467 -17.000000 -9.000000 0.000000 
149 0.745000 -18.295467 -18.000000 -8.000000 0.000000 
150 0.750000 -18.295467 -20.000000 -6.000000 0.000000 
151 0.755000 -18.295467 -18.000000 -8.000000 0.000000 
152 0.760000 -18.295467 -18.000000 -7.000000 0.000000 
153 0.765000 -18.295467 -18.000000 -7.000000 0.000000 
154 0.770000 -18.295467 -20.000000 -7.000000 0.000000 
155 0.775000 -18.295467 -18.000000 -8.000000 0.000000 
156 0.780000 -18.295467 -17.000000 -7.000000 0.000000 
157 0.785000 -18.295467 -20.000000 -6.000000 0.000000 
158 0.790000 -18.295467 -19.000000 -8.000000 0.000000 
159 0.795000 -18.295467 -17.000000 -9.000000 0.000000 
160 0.800000 -18.295467 -19.000000 -7.000000 0.000000 
161 0.805000 -18.295467 -19.000000 -6.000000 0.000000 
162 0.810000 -18.295467 -18.000000 -7.000000 0.000000 
163 0.815000 -18.295467 -17.000000 -7.000000 0.000000 
164 0.820000 -18.295467 -20.000000 -6.000000 0.000000 
165 0.825000 -18.295467 -19.000000 -7.000000 0.000000 
166 0.830000 -18.295467 -17.000000 -7.000000 0.000000 
167 0.835000 -18.295467 -18.000000 -6.000000 0.000000 
168 0.840000 -18.295467 -19.000000 -7.000000 0.000000 
169 0.845000 -18.295467 -18.000000 -8.000000 0.000000 
170 0.850000 -18.295467 -17.000000 -8.000000 0.000000 
171 0.855000 -18.295467 -19.000000 -7.000000 0.000000 
172 0.860000 -18.295467 -19.000000 -7.000000 0.000000 
173 0.865000 -18.295467 -17.000000 -8.000000 0.000000 
174 0.870000 -18.295467 -19.000000 -6.000000 0.000000 
175 0.875000 -18.295467 -19.000000 -7.000000 0.000000 
176 0.880000 -18.295467 -18.000000 -9.000000 0.000000 
177 0.885000 -18.295467 -18.000000 -8.000000 0.000000 
178 0.890000 -18.295467 -19.000000 -7.000000 0.000000 
179 0.895000 -18.295467 -19.000000 -8.000000 0.000000 
180 0.900000 -18.295467 -17.000000 -9.000000 0.000000 
181 0.905000 -18.295467 -18.000000 -7.000000 0.000000 
182 0.910000 -18.295467 -20.000000 -7.000000 0.000000 
183 0.915000 -18.295467 -18.000000 -8.000000 0.000000 
184 0.920000 -18.295467 -18.000000 -7.000000 0.000000 
185 0.925000 -18.295467 -20.000000 -6.000000 0.000000 
186 0.930000 -18.295467 -19.000000 -7.000000 0.000000 
187 0.935000 -18.295467 -17.000000 -8.000000 0.000000 
188 0.940000 -18.295467 -17.000000 -7.000000 0.000000 
189 0.945000 -18.295467 -20.000000 -6.000000 0.000000 
190 0.950000 -18.295467 -19.000000 -7.000000 0.000000 
191 0.955000 -18.295467 -17.000000 -8.000000 0.000000 
192 0.960000 -18.295467 -19.000000 -7.000000 0.000000 
193 0.965000 -18.295467 -19.000000 -8.000000 0.000000 
194 0.970000 -18.295467 -18.000000 -7.000000 0.000000 
195 0.975000 -18.295467 -17.000000 -6.000000 0.000000 
196 0.980000 -18.295467 -20.000000 -6.000000 0.000000 
